App id,Name of the application,Display name of the application,Genre of the app,Age of the app,current locale of the sheet,"comma separeted locale names, i.e en_US, etc",s3 link for the listing background,Integer number which will decide the priority of the display,Integer number which will decide the priority of the display of max talents,Seller Name,Screenshots folder link,Screenshots - comma separated image names,Icon folder link,Icon image name,Description,Status of the app,True / False value to show if CTA is applicable,Text to show on top right of detail page,Max Card folder link,Max card image name,Release Date,Split of Max content,Internet / Offline,What's New within the app?,Live
id,name,display_name,category,age,locale,supported_locale,listing_background,priority,priority_max,seller,screenshot_base_url,screenshots_filename,icon_base_url,icon_filename,description,Active,max_cta,max_tag,max_card_s3_link,max_card,,,,,
1,Camera,Camera,"Utility, Fun",5-10 years,en_US," en_US,ar_AE,de_DE,es_US,es_ES,fr_FR,it_IT,zh_CN",https://storage.googleapis.com/miko3-parental/app_talent_cards/camera_card.png,33,,Miko,https://storage.googleapis.com/miko3-parental/camera/,"camera_screenshot_1.png, camera_screenshot_2.png, camera_screenshot_3.png, camera_screenshot_4.png",https://storage.googleapis.com/miko3-parental/app_icons/,camera_icon.png,The 2 Megapixel camera captures sweet moments of kids playing with Miko 3! The timer functionality lets the child record one minute long videos & take wonderful pictures as well!,TRUE,FALSE,NA,,,Nov'21,Free,,,Live
2,Moments,Moments,"Utility, Fun",5-10 years,en_US,"en_US,ar_AE,de_DE,es_US,es_ES,fr_FR,it_IT,zh_CN",https://storage.googleapis.com/miko3-parental/app_talent_cards/moments_card.png,30,,Miko,https://storage.googleapis.com/miko3-parental/moments/,"moments_screenshot_1.png, moments_screenshot_2.png, moments_screenshot_3.png, moments_screenshot_4.png",https://storage.googleapis.com/miko3-parental/app_icons/,moments_icon.png,A digital scrapbook of sweet memories! Moments showcases a gallery of all the photos and videos captured by the child through the camera on Miko.,TRUE,FALSE,NA,,,nov'21,Free,,,Live
3,Fight Viruses,Fight Viruses,"Quiz, Game, Wellness",5-10 years,en_US,"en_US,ar_AE,de_DE,es_US,es_ES,fr_FR,it_IT,zh_CN",https://storage.googleapis.com/miko3-parental/app_talent_cards/fight_viruses_card.png,14,,Miko,https://storage.googleapis.com/miko3-parental/fight_viruses/,"FV_Screenshot1.png, FV_Screenshot2.png, FV_Screenshot3.png, FV_Screenshot4.png, FV_Screenshot5.png",https://storage.googleapis.com/miko3-parental/app_icons/,fight_viruses_icon.png,"The Fight Viruses app is a 10-level innovative match-up game. It teaches kids about health, sanitisation & cleanliness. It also teaches best practices & precautionary measures one should take against virus infections.",TRUE,FALSE,NA,,,nov'21,Free,,,Live
4,Flag-a-thon!,Flag-a-thon!,"Quiz, Game, World",7-10 years,en_US,"en_US,ar_AE,de_DE,es_US,es_ES,fr_FR,it_IT,zh_CN",https://storage.googleapis.com/miko3-parental/app_talent_cards/flag_a_thon_card.png,7,,Miko,https://storage.googleapis.com/miko3-parental/flag_a_thon/,"Flag_screenshot.png, Flag_screenshot1.png, Flag_screenshot2.png, Flag_screenshot3.png",https://storage.googleapis.com/miko3-parental/app_icons/,flag_a_thon_icon.png,"Teaching kids about flags was never this easy! With more than 200 flags in our kitty, your child is sure to learn about our global community in the most fun way!",TRUE,FALSE,NA,,,nov'21,Free,,,Live
5,Backpacking!,Backpacking!,"Story, World",5-8 years,en_US,"en_US,ar_AE,de_DE,es_US,es_ES,fr_FR,it_IT,zh_CN",https://storage.googleapis.com/miko3-parental/app_talent_cards/backpacking_card.png,9,,Miko,https://storage.googleapis.com/miko3-parental/backpacking/,"B_Screenshot1.png, B_Screenshot2.png, B_Screenshot3.png, B_Screenshot4.png",https://storage.googleapis.com/miko3-parental/app_icons/,backpacking_icon.png,"Enjoy the American experience with our travel app! Let your child roam around United States without even leaving the house! The app features two alien friends, Zippy & Tubby who act as tourist guides for your little explorer.",TRUE,FALSE,NA,,,nov'21,Free,,,Live
6,Wild Jingle,Wild Jingle,"Miscellaneous, Game, Environment",5-6 years,en_US,"en_US,ar_AE,de_DE,es_US,es_ES,fr_FR,it_IT,zh_CN",https://storage.googleapis.com/miko3-parental/app_talent_cards/wild_jingle_card.png,19,,Miko,https://storage.googleapis.com/miko3-parental/wild_jingle/,"Wild_Jingle_Screenshot1.jpg, Wild_Jingle_Screenshot2.jpg, Wild_Jingle_Screenshot3.jpg, Wild_Jingle_Screenshot4.jpg",https://storage.googleapis.com/miko3-parental/app_icons/,wild_jingle_icon.png,Entertain your child with animal sounds! This app comprises of various animal sounds which will help your child in understanding our fellow earthlings in a much better way.,TRUE,FALSE,NA,,,nov'21,Free,,,Live
8,Ting Ting Tales,Ting Ting Tales,"Story, Values",5-8 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/ting_ting_tales.png,23,,Miko,https://storage.googleapis.com/miko3-parental/ting_ting_tales/,"TTT_screenshot1.png, TTT_screenshot2.png, TTT_screenshot3.png, TTT_screenshot4.png, TTT_screenshot5.png",https://storage.googleapis.com/miko3-parental/app_icons/,ting_ting_tales_icon.png,"A collection of digital comic books with sounds and pictures that enhance the whole story telling experience! Teach your kids good morals, values, ethics & kindness through Ting Ting Tales. This can be a great bedtime routine for your little one!",TRUE,FALSE,NA,,,nov'21,Free,,,Live
9,Mikojis,Mikojis,"Personality, Fun",5-8 years,en_US,"en_US,ar_AE,de_DE,es_US,es_ES,fr_FR,it_IT,zh_CN",https://storage.googleapis.com/miko3-parental/app_talent_cards/mikojis_card.png,27,,Miko,https://storage.googleapis.com/miko3-parental/mikojis/,"M_Screenshot.png, M_Screenshot1.png, M_Screenshot2.png, M_Screenshot3.png",https://storage.googleapis.com/miko3-parental/app_icons/,mikojis_icon.png,"A robot with feelings is a rare sight! With our Mikojis app, Miko expresses all its emotions through the cutest emojis. Miko can go crazy! It can blush, snore, smirk & yawn too. There are 18 Mikojis through which Miko interacts with the child's ever-changing moods!",TRUE,FALSE,NA,,,nov'21,Free,,,Live
10,Miko Moves ,Miko Moves ,"Personality, Fun",5-8 years,en_US,"en_US,ar_AE,de_DE,es_US,es_ES,fr_FR,it_IT,zh_CN",https://storage.googleapis.com/miko3-parental/app_talent_cards/miko_moves_card.png,17,,Miko,https://storage.googleapis.com/miko3-parental/miko_moves/,"Miko_moves_screenshot1.jpg, Miko_moves_screenshot2.jpg, Miko_moves_screenshot3.jpg, Miko_moves_screenshot4.jpg",https://storage.googleapis.com/miko3-parental/app_icons/,miko_moves_icon.png,Who knew learning geometric shapes can be this fun? All you have to do is place Miko 3 on the floor and open the app. We are sure that your child will not only have a great time watching Miko move but also ace in learning geometric shapes.,TRUE,FALSE,NA,,,nov'21,Free,,,Live
11,Quizzard,Quizzard,"Quiz, Game, Trivia",7-10 years,en_US,"en_US,ar_AE,de_DE,es_US,es_ES,fr_FR,it_IT,zh_CN",https://storage.googleapis.com/miko3-parental/app_talent_cards/quizzard_card.png,21,,Miko,https://storage.googleapis.com/miko3-parental/quizzard/,"Quizzard_screenshot1.jpg, Quizzard_screenshot2.jpg, Quizzard_screenshot3.jpg, Quizzard_screenshot4.jpg",https://storage.googleapis.com/miko3-parental/app_icons/,quizzard_icon.png,"A quizzical way of teaching kids is here! In this game, Miko asks questions with 4 answer options to choose from. The child has to select the correct answer to move ahead in the game. With levels such as Easy, Medium & Hard, this game is suitable for all ages!",TRUE,FALSE,NA,,,dec'21,Free,,,Live
12,Tic Tac Toe,Tic Tac Toe,"Quest, Game, Logic",7-8 years,en_US,"en_US,ar_AE,de_DE,es_US,es_ES,fr_FR,it_IT,zh_CN",https://storage.googleapis.com/miko3-parental/app_talent_cards/tictactoe_card.png,25,,Miko,https://storage.googleapis.com/miko3-parental/tic_tac_toe/,"TicTacToe_Screenshot.png, TicTacToe_Screenshot1.png, TicTacToe_Screenshot2.png, TicTacToe_Screenshot3.png",https://storage.googleapis.com/miko3-parental/app_icons/,tic_tac_toe_icon.png,XOXO! This game gives a modern twist to its classic counterpart with introduction of themes related to magic and aliens! Watch your little one improve their logical thinking and problem solving skills through Tic Tac Toe!,TRUE,FALSE,NA,,,nov'21,Free,,,Live
